,Symbol,Name,Sector
435,WAB,Wabtec,Industrials
361,ROST,Ross Stores,Consumer Discretionary
412,UDR,UDR,Real Estate
269,MLM,Martin Marietta Materials,Materials
180,FMC,FMC Corporation,Materials
45,AIZ,Assurant,Financials
292,MSI,Motorola Solutions,Information Technology
393,TSLA,Tesla,Consumer Discretionary
389,TEL,TE Connectivity,Information Technology
395,TXT,Textron,Industrials
196,GPN,Global Payments,Information Technology
444,WDC,Western Digital,Information Technology
297,NWL,Newell Brands,Consumer Discretionary
1,AOS,A. O. Smith,Industrials
194,GPC,Genuine Parts,Consumer Discretionary
6,ADM,ADM,Consumer Staples
102,CLX,Clorox,Consumer Staples
365,SBAC,SBA Communications,Real Estate
122,DHI,D. R. Horton,Consumer Discretionary
348,RL,Ralph Lauren Corporation,Consumer Discretionary
261,LUMN,Lumen Technologies,Communication Services
9,AMD,Advanced Micro Devices,Information Technology
401,DIS,The Walt Disney Company,Communication Services
190,GD,General Dynamics,Industrials
17,ARE,Alexandria Real Estate Equities,Real Estate
417,UPS,United Parcel Service,Industrials
223,IFF,International Flavors & Fragrances,Materials
253,LEN,Lennar,Consumer Discretionary
157,EFX,Equifax,Industrials
416,UAL,United Airlines,Industrials
68,BXP,Boston Properties,Real Estate
445,WU,Western Union,Information Technology
430,V,Visa,Information Technology
238,JNPR,Juniper Networks,Information Technology
182,FTNT,Fortinet,Information Technology
42,AAPL,Apple,Information Technology
185,FCX,Freeport-McMoRan,Materials
315,OMC,Omnicom Group,Communication Services
344,PVH,PVH,Consumer Discretionary
420,UHS,Universal Health Services,Health Care
166,EXPE,Expedia Group,Consumer Discretionary
283,MSFT,Microsoft,Information Technology
257,LKQ,LKQ Corporation,Consumer Discretionary
252,LDOS,Leidos,Industrials
35,AMGN,Amgen,Health Care
353,REGN,Regeneron Pharmaceuticals,Health Care
396,COO,The Cooper Companies,Health Care
455,ZBH,Zimmer Biomet,Health Care
105,KO,Coca-Cola Company,Consumer Staples
